movie_id,title,poster_path,backdrop_path,genres,overview,year,runtime,vote_average,added_date
1384216,The Dog Stars,/5O616X9vmRzQdB68PHzBewPittd.jpg,/quAHqi4zBrB5fIfHvgrqiG4xzAC.jpg,"Science Fiction, Adventure, Thriller","After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound.",2026,0,7.3,2026-08-24
1287819,A Samurai in Time,/oQbxGmLOqZrFLxLrfeIU4TGaOiU.jpg,/tTUr3JaMRhA7Jt64lmrskF7xNRO.jpg,Comedy,A samurai who gets hit by lightning wakes up to find himself on a film set in the present day and starts to work as an extra on samurai films.,2024,0,7.2,2026-08-24
1422,The Departed,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,/6WRrGYalXXveItfpnipYdayFkQB.jpg,"Drama, Thriller, Crime","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006,0,8.2,2026-08-24
1850,Man on the Moon,/msOZS07xRIFnapwp3fprGbKEAfT.jpg,/c6jFpztvihsXraV51up2nxXfm5t.jpg,"Comedy, Drama, History","The story of the life and career of eccentric avant-garde comedian, Andy Kaufman.",1999,0,7.2,2026-08-24
577,To Die For,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,/7LNkP4ofj5pPgPeyEXC5z3U4y8a.jpg,"Drama, Comedy, Crime","Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",1995,0,6.6,2026-08-24
1232546,Until Dawn,/bLY5yN4MKVynZ2HMZWElTOGBgBe.jpg,/3xKJ0nyUTlySmMBCpOcsuSnFPI1.jpg,"Horror, Mystery","One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",2025,0,6.3,2026-08-24
1241436,Warfare,/l39TlELomwysfsr37vrvCV6rmaQ.jpg,/30jbD8Er4aB7FbfUbyZLORMDnJN.jpg,"War, Action","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",2025,0,7.1,2026-08-24
11051,The Last Temptation of Christ,/7L4qwrC1mipZXJfU5oRgQWChLv1.jpg,/rBqdcQeM1h05YjF9rFtPWnNaDO2.jpg,Drama,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt.",1988,0,7.2,2026-08-24
453,A Beautiful Mind,/rEIg5yJdNOt9fmX4P8gU9LeNoTQ.jpg,/hCJFWTPghXCwwSpvPpAoIB8318Q.jpg,"Drama, Romance","From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.",2001,0,7.9,2026-08-24
10386,The Iron Giant,/ct04FCFLPImNG5thcPLRnVsZlmS.jpg,/gZ78dyRH9hXeH94ASjuvD9Vw4b5.jpg,"Animation, Drama, Family, Science Fiction, Action, Adventure","In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",1999,0,8.0,2026-08-24
595,To Kill a Mockingbird,/gZycFUMLx2110dzK3nBNai7gfpM.jpg,/wYRpVySPCC7wA28p54yAaoMT478.jpg,Drama,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",1962,0,8.0,2026-08-24
872,Singin' in the Rain,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,/6qOyw4yfzbzTp5YsCX26C28Do0S.jpg,"Comedy, Romance","In 1927 Hollywood, a silent film star falls for a chorus girl just as he and his paranoid screen partner struggle to make the difficult transition to talking pictures.",1952,0,8.1,2026-08-24
